id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
2848,Konya,Resit,28/04/2020,Yok,Tartisma,,Sevgilisi,,Kesici Alet,,,Tutuklu,2020
2849,Gaziantep,Resit Degil,21/04/2020,Yok,Tespit Edilemeyen,,Babasi,,Darp,,,Sorusturma Suruyor,2020
2850,Batman,Resit Degil,25/04/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Asma,,,Tespit Edilemeyen,2020
2851,Antalya,Resit,25/03/2020,Yok,Tespit Edilemeyen,,Tanidigi Birisi,,Tespit Edilemeyen,,,Tutuklu,2020
2852,Karabuk,Resit,17/03/2020,Var,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Tespit Edilemeyen,2020
2853,Osmaniye,Resit,28/04/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,,Tespit Edilemeyen,2020
2854,Bursa,Resit,23/03/2020,Yok,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,,Intihar,2020
2855,Ordu,Resit,24/03/2020,Yok,Tartisma,,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
2856,Tokat,Resit,07/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
2857,Van,Resit,09/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,Tespit Edilemeyen,2020
2858,Diyarbakir,Resit,22/03/2020,Yok,Tartisma,,Sevgilisi,,Atesli Silah,,,Tutuklu,2020
2859,Konya,Resit,13/03/2020,Var,Bosanma Talebi,,Kocasi,,Atesli Silah,,,Tutuklu,2020
2860,Denizli,Resit,07/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
2861,Corum,Resit,02/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
2862,Mardin,Resit,12/03/2020,Yok,Tespit Edilemeyen,,Oglu,,Kesici Alet,,,Tutuklu,2020
2863,Izmir,Resit,10/03/2020,Yok,Tartisma,,Eski Kocasi,,Kesici Alet,,,Tutuklu,2020
2864,Kars,Resit,14/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,Asma,,Sorusturma Suruyor,2020
2865,Erzurum,Resit Degil,05/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
2866,Batman,Resit,15/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,Sorusturma Suruyor,2020
2867,Ordu,Resit,19/05/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Sorusturma Suruyor,2020
2868,Diyarbakir,Resit Degil,15/02/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,Tespit Edilemeyen,2020
2869,Samsun,Resit,01/02/2020,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,Tespit Edilemeyen,2020
2870,Istanbul,Resit,23/07/2020,Yok,Tartisma,,Kocasi,,Bogulma,,,Tutuklu,2020
2871,Mus,Resit,23/07/2020,Yok,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,,Tutuklu,2020
2872,Aydin,Resit,14/02/2020,Yok,Para,Tartisma,Arkadasi,,Kesici Alet,,,Tutuklu,2020
2873,Kocaeli,Resit,06/02/2020,Yok,Tespit Edilemeyen,,Tanimadigi Birisi,,Darp,,,Tutuklu,2020
2874,Bartin,Resit,25/07/2020,Yok,Kaza,,Kayinpederi,,Atesli Silah,,,,2020
2875,Mersin,Resit,27/07/2020,Yok,Bosanma Talebi,,Kocasi,,Atesli Silah,,,Tutuklu,2020
2876,Sinop,Resit,06/02/2020,Yok,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
2877,Kocaeli,Resit,05/02/2020,Yok,Tartisma,,Kocasi,,Atesli Silah,,,Intihar,2020
2878,Mersin,Resit,27/07/2020,Yok,Kizini Korurken,,Damadi,,Atesli Silah,,,Tutuklu,2020
2879,Istanbul,Resit,30/07/2020,Yok,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2020
2880,Kayseri,Resit,02/02/2020,Yok,Kiskanclik,,Tanidigi Birisi,,Atesli Silah,,,Tutuklu,2020
