id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
763, Antalya ,, 02/11/2014 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
764, Antalya , Resit , 02/12/2014 ,   Yok ,Kiskanclik,,Sevgilisi,,Darp,,, Tutuklu ,2014
765, Antalya ,, 03/02/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2014
766, Antalya , Resit , 03/03/2014 ,   Yok ,KiskancliK,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2014
767, Antalya , Resit , 03/03/2014 ,   Yok ,Reddedilme,,Sevgilisi,,Intihar,,, Tutuklu ,2014
768, Antalya ,, 03/03/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Yakilma,,, Intihar ,2014
769, Ardahan , Resit , 03/05/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2014
770, Istanbul , Resit , 03/05/2014 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2014
771, Aydin , Resit , 03/09/2014 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
772, Balikesir , Resit , 03/11/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
773, Balikesir , Resit , 03/11/2014 ,   Yok ,Tespit Edilemeyen,,Torunu,,Kesici Alet,,, Tutuklu ,2014
774, Bolu , Resit , 04/04/2014 ,   Yok ,Bosanma Talebi,Tartisma,Kocasi,,Kesici Alet,,, Intihar ,2014
775, Bursa , Resit , 04/07/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Araniyor ,2014
776, Bursa ,, 04/07/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
777, Bursa , Resit , 04/07/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2014
778, Bursa ,, 04/08/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Araniyor ,2014
779, Bursa , Resit , 04/10/2014 ,   Yok ,Tartisma,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2014
780, Bursa , Resit , 04/10/2014 ,   Yok ,Reddedilme ,Ayrilik Talebi,Sevgilisi,,Yakilma,Darp,, Tutuklu ,2014
781, Bursa , Resit , 04/10/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2014
782, Bursa ,, 04/11/2014 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2014
783, Corum , Resit , 05/03/2014 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2014
784, Corum , Resit , 05/03/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2014
785, Corum ,, 05/04/2014 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2014
786, Denizli , Resit , 05/04/2014 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
787, Denizli , Resit , 05/05/2014 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
788, Denizli ,, 05/05/2014 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
789, Denizli , Resit , 05/07/2014 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Intihar ,2014
790, Diyarbakir , Tespit Edilemeyen , 05/11/2014 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor,2014
791, Diyarbakir , Resit , 06/03/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2014
792, Duzce , Resit , 06/04/2014 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Tespit Edilemeyen,,, Intihar ,2014
793, Duzce ,, 06/04/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
794, Edirne ,, 06/06/2014 ,   Tespit Edilemeyen ,Para,,Tanidigi Birisi,,Kesici Alet,,,,2014
795, Elazig , Resit , 06/07/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Araniyor ,2014
796, Eskisehir , Resit , 06/11/2014 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Intihar ,2014
797, Eskisehir , Resit , 06/11/2014 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
798, Gaziantep , Resit , 07/04/2014 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2014
799, Gaziantep ,, 07/04/2014 ,   Yok ,Para,,Damadi,,Vurucu Alet,,, Tutuklu ,2014
800, Gaziantep , Resit , 07/05/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
801, Gaziantep ,, 07/05/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Intihar ,2014
802, Gaziantep ,, 07/07/2014 ,   Yok ,Namus,,Abisi,,Atesli Silah,,, Tutuklu ,2014
803, Gaziantep , Resit , 07/07/2014 ,   Yok ,Kiz Kacirma,Tartisma,Tespit Edilemeyen,,Kesici Alet,,, Sorusturma Suruyor ,2014
804, Gaziantep , Resit , 07/09/2014 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2014
805, Giresun ,, 07/10/2014 ,   Yok ,Tartisma,,Abisi,,Atesli Silah,,, Tutuklu ,2014
806, Giresun ,, 07/10/2014 ,   Yok ,Kizini Korurken,,Damadi,,Kesici Alet,,, Kacak  ,2014
807, Giresun ,, 07/10/2014 ,   Yok ,Kavga,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2014
808, Hatay , Resit , 07/12/2014 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
809, Isparta ,, 08/04/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2.014
810, Isparta , Resit , 08/04/2014 ,   Yok ,Tartisma,,Kardesi,,Atesli Silah,,, Araniyor ,2014
811, Istanbul , Resit , 08/07/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2014
812, Istanbul ,, 08/07/2014 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2014
813, Istanbul , Resit , 08/09/2014 ,   Yok ,Nefret,,Tespit Edilemeyen,,Darp,,, Araniyor ,2014
814, Istanbul , Resit , 08/12/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2014
815, Istanbul ,, 09/04/2014 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,, Araniyor ,2014
816, Istanbul ,, 09/04/2014 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
817, Istanbul , Resit , 09/04/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2014
818, Istanbul , Resit , 09/06/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
819, Istanbul , Resit , 09/07/2014 ,   Yok ,Tartisma,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2014
820, Istanbul , Resit , 09/08/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2014
821, Istanbul ,, 09/09/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,, Kacak ,2014
822, Istanbul , Resit , 09/09/2014 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Tecavuz,Yardim Etmeme,, Tutuklu ,2014
823, Istanbul , Resit , 09/10/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2014
824, Istanbul ,, 09/12/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Tespit Edilemeyen,2014
825, Istanbul , Resit , 10/03/2014 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Kesici Alet,,, Tutuklu ,2014
826, Istanbul , Resit , 10/04/2014 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Sorusturma Suruyor ,2014
827, Istanbul , Resit , 10/09/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2014
828, Istanbul ,, 10/09/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2014
829, Istanbul , Resit , 10/09/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2014
830, Istanbul ,, 10/10/2014 ,   Yok ,Para,,Kocasi,,Atesli Silah,,, Araniyor ,2014
831, Istanbul , Resit , 10/10/2014 ,   Yok ,Kiskanclik,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
832, Istanbul , Resit , 10/10/2014 ,   Yok ,Tespit Edilemeyen,,Akrabasi,,Tespit Edilemeyen,,, Tutuklu ,2014
833, Istanbul , Resit , 10/10/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
834, Istanbul ,, 10/10/2014 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Intihar ,2014
835, Istanbul ,Resit, 10/11/2014 ,   Tespit Edilemeyen ,Kiskanclik,,Patron,Sevgili,Atesli Silah,,,,2014
836, Istanbul , Resit , 10/12/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2014
837, Istanbul , Resit , 10/12/2014 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Atesli Silah,,,Tespit Edilemeyen,2014
838, Izmir ,, 11/01/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Intihar ,2014
839, Izmir ,, 11/02/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,,Tespit Edilemeyen,2014
840, Izmir , Resit , 11/03/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Sorusturma Suruyor ,2014
841, Izmir ,, 11/03/2014 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2014
842, Izmir , Resit , 11/03/2014 ,   Yok ,Kiskanclik,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2014
843, Izmir ,, 11/03/2014 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Kesici Alet,,, Tespit Edilemeyen,2014
844, Izmir ,, 11/04/2014 ,   Yok ,Tartisma,,Tespit Edilemeyen,,Atesli Silah,,, Kacak ,2014
845, Izmir ,, 11/05/2014 ,   Yok ,Tartisma,,Akrabasi,,Atesli Silah,,, Tutuklu ,2014
846, Izmir ,, 11/05/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2014
847, Izmir ,, 11/05/2014 ,   Yok ,Reddedilme,,Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
848, Izmir ,, 11/07/2014 ,   Yok ,Tartisma,,Oglu,,Darp,Vurucu Alet,, Tutuklu ,2014
849, Izmir , Resit , 11/07/2014 ,   Yok ,Kiskanclik,,Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
850, Izmir ,, 11/09/2014 ,   Yok  ,Tartisma,Kavga,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2014
851, Izmir ,, 11/10/2014 ,   Yok ,Para,,Tanimadigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2014
852, Izmir , Resit Degil , 11/10/2014 ,   Yok ,Para,,Tanidigi Birisi,,Bogulma,,, Tutuklu ,2014
853, Izmir ,, 11/10/2014 ,   Yok ,Para,,Tanidigi Birisi,,Darp,,, Tutuklu ,2014
854, Izmir , Resit , 11/12/2014 ,   Yok ,Tespit Edilemeyen,,Oglu,,Zehir,,, Tutuklu ,2014
855, Izmir , Resit , 11/12/2014 ,   Yok  ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Sorusturma Suruyor ,2014
856, Izmir , Resit , 11/12/2014 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
857, Izmir ,, 12/01/2014 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
858, Izmir , Resit , 12/01/2014 ,   Yok ,Tartisma,,Torunu,,Kesici Alet,,,Tespit Edilemeyen,2014
859, Karaman ,, 12/06/2014 ,   Yok ,Tecavuz,,Tanimadigi Birisi,,Bogulma,,, Tutuklu ,2014
860, Kayseri , Resit , 12/11/2014 ,   Var ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2014
861, Kayseri , Resit , 12/11/2014 ,   Yok ,Namus,,Kocasi,,Bogulma,,, Tutuklu ,2014
862, Kayseri , Resit Degil , 12/12/2014 ,   Yok ,Tespit Edilemeyen,,Babasi,,Kesici Alet,,, Intihar ,2014
863, Kayseri ,, 12/12/2014 ,   Yok ,Tartisma,,Torunu,,Kesici Alet,,, Tutuklu ,2014
864, Kayseri ,, 12/12/2014 ,   Yok ,Para,,Tanidigi Birisi,,Bogulma,,, Tutuklu ,2014
865, Kayseri , Resit , 12/12/2014 ,   Yok ,Tartisma,Ayrilik Talebi,Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2014
866, Edirne , Resit , 13/01/2014 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2014
867, Kirsehir , Resit , 13/05/2014 ,   Yok ,Para,,Oglu,,Tespit Edilemeyen,,, Araniyor ,2014
868, Kocaeli ,, 13/06/2014 ,   Yok ,Baska Bir Kadini Korurken,,Enistesi,,Atesli Silah,,, Kacak ,2014
869, Kocaeli ,, 13/07/2014 ,   Yok ,Tespit Edilemeyen,,Akrabasi,,Atesli Silah,,, Tutuklu ,2014
870, Kocaeli , Resit , 13/09/2014 ,   Yok ,Namas,,Abisi,,Bogulma,Yuksekten Dusme,, Tutuklu ,2014
871, Kocaeli ,, 13/10/2014 ,   Yok ,Tartisma,Bosanma Talebi,Kocasi,,Atesli Silah,,, Intihar ,2014
872, Konya ,Resit, 13/11/2014 ,   Tespit Edilemeyen ,Bosanma,,Kocasi,,Atesli Silah,,,,2014
873, Kutahya ,, 14/07/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Asma,,, Tespit Edilemeyen,2014
874, Manisa ,, 14/12/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
875, Manisa , Resit , 14/12/2014 ,   Yok ,Kizini Korurken,,Kizinin Eski Sevgilisi,,Atesli Silah,,, Intihar ,2014
876, Manisa ,, 15/01/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Araniyor ,2014
877, Manisa ,, 15/01/2014 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2014
878, Manisa , Resit , 15/01/2014 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
879, Mersin ,, 15/03/2014 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2014
880, Mersin ,, 15/06/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2014
881, Mersin , Resit , 15/06/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Yuksekten Dusme,,, Tutuklu ,2014
882, Mersin ,, 15/07/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2014
883, Mersin , Resit , 15/08/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Tespit Edilemeyen,,, Tutuklu ,2014
884, Mersin ,Resit, 15/08/2014 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,,,2014
885, Mersin , Resit , 15/08/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
886, Mersin ,, 15/08/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
887, Mersin ,, 15/08/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2014
888, Mersin ,Resit, 15/09/2014 ,   Tespit Edilemeyen ,Kiskanclik,,Sevgilisi,,Atesli Silah,,,,2014
889, Mersin  ,, 15/09/2014 ,   Yok ,Tartisma,,Eski Sevgilisi,,Atesli Silah,,, Intihar ,2014
890, Mus ,, 15/12/2014 ,   Yok ,Tespit Edilemeyen,,Akrabasi,,Atesli Silah,,, Tutuklu ,2014
891, Nigde , Resit , 16/01/2014 ,   Yok ,Reddedilme,,Kocasi,,Atesli Silah,,, Tutuklu ,2014
892, Nigde , Resit , 16/01/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
893, Rize , Resit , 16/05/2014 ,   Yok ,Tartisma,,Akrabasi,,Atesli Silah,,,Tespit Edilemeyen,2014
894, Karabuk, Resit , 16/06/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
895, Samsun , Resit  , 16/12/2014 ,   Yok ,Tartisma,,Eski Kocasi,,Kesici Alet,,, Tutuklu ,2014
896, Sanliurfa ,, 17/02/2014 ,   Yok ,Tartisma,,Oglu,,Atesli Silah,,, Tutuklu ,2014
897, Sanliurfa , Resit , 17/03/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2014
898, Sanliurfa , Resit , 17/03/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2014
899, Siirt ,, 17/04/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Tutuklu ,2014
900, Tekirdag ,, 17/07/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
901, Tekirdag , Resit , 17/08/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2014
902, Tekirdag , Resit , 17/09/2014 ,   Yok ,Evden Kacma,,Babasi,,Atesli Silah,,, Tutuklu ,2014
903, Trabzon ,, 17/11/2014 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2014
904, Trabzon , Resit , 17/11/2014 ,   Yok ,Tespit Edilemeyen,,Kayinpederi,,Darp,Iskence,, Tutuklu ,2014
905, Trabzon ,, 17/12/2014 ,   Yok ,Tespit Edilemeyen,,Kardesi,,Atesli Silah,,, Tutuklu ,2014
906, Usak ,, 18/01/2014 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,, Intihar ,2014
907, Usak , Resit , 18/01/2014 ,   Yok ,Para,,Torunu,,Darp,,, Tutuklu ,2014
908, Zonguldak ,, 18/06/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,Tespit Edilemeyen,2014
909,,, 18/07/2014 ,   Yok ,Tespit Edilemeyen,,Oglu,,Kesici Alet,,,,2014
910,,, 18/09/2014 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,,,2014
911,,, 18/09/2014 ,   Yok ,Ayrilik,,Eski Sevgilisi,,Atesli Silah,,,,2014
912,,, 18/12/2014 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Atesli Silah,,,,2014
913,,, 19/03/2014 ,   Tespit Edilemeyen ,Bosanma,,Kocasi,,Atesli Silah,,,,2014
914,,, 19/03/2014 ,   Var,Bosanma Talebi,,Kocasi,,Kesici Alet,,,,2014
915,,, 19/06/2014 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,,,2014
916,,, 19/07/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2014
917,,, 19/07/2014 ,   Var ,Bosanma,,Eski Kocasi,,Kesici Alet,,,,2014
918,,, 19/10/2014 ,   Yok ,Aldatilma Suphesi,,Kocasi,,Atesli Silah,,,,2014
919,,, 19/10/2014 ,   Var ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,,,2014
920,,, 19/10/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2014
921,,, 19/12/2014 ,   Yok ,Tartisma,,Akrabasi,,Kesici Alet,,,,2014
922,,, 19/12/2014 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2014
923,,, 19/12/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2014
924,,, 19/12/2014 ,   Yok ,Nefret,,Tanidigi Birisi,,Kesici Alet,,,,2014
925,,, 20/04/2014 ,   Yok ,Kizini Korurken,,Eski Damadi,,Atesli Silah,,,,2014
926,,, 20/05/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2014
927,,, 20/08/2014 ,   Yok ,Ayrilik,,Eski Nisanlisi,,Atesli Silah,,,,2014
928,,, 20/09/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2014
929,,, 20/10/2014 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2014
930,,, 20/11/2014 ,   Yok ,Rededilme,,Eski Sevgilisi,,Kesici Alet,,,,2014
931,,, 20/11/2014 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,,,2014
932,,, 20/12/2014 ,   Yok ,Kiskanclik,,Kocasi,,Yuksekten Dusme,,,,2014
933,,, 20/12/2014 ,   Var ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2014
934,,, 21/02/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2014
935,,, 21/04/2014 ,   Yok ,Tartisma,,Sevgilisi,,Darp,,,,2014
936,,, 21/09/2014 ,   Tespit Edilemeyen ,Siddet,,Intihar,,Asma,,,,2014
937,,, 22/01/2014 ,   Yok ,Bosanma,,Akrabasi,,Kesici Alet,,,,2014
938,,, 22/01/2014 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,,,2014
939,,, 22/02/2014 ,   Yok ,Namus,,Kayinpederi,,Atesli Silah,,,,2014
940,,, 22/02/2014 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Kesici Alet,,,,2014
941,,, 22/02/2014 ,   Yok ,Tartisma,,Sevgilisi,,Darp,,,,2014
942,,, 22/04/2014 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2014
943,,, 22/04/2014 ,   Yok ,Kiskanclik,,Sevgilisi,,Atesli Silah,,,,2014
944,,, 22/04/2014 ,   Yok ,Ayrilik Talebi,,Eski Sevgilisi,,Kesici Alet,,,,2014
945,,, 22/05/2014 ,   Yok ,Tartisma,,Tanimadigi Birisi,,Atesli Silah,,,,2014
946,,, 22/05/2014 ,   Yok ,Ailevi Nedenler,,Abisi,,Atesli Silah,,,,2014
947,,, 22/05/2014 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2014
948,,, 22/07/2014 ,   Yok ,Ayrilik,,Eski Sevgilisi,,Atesli Silah,,,,2014
949,,, 22/09/2014 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Atesli Silah,,,,2014
950,,, 22/11/2014 ,   Yok ,Arkadasini Korurken,,Arkadasinin Kocasi,,Kesici Alet,,,,2014
951,,, 23/01/2014 ,   Yok ,Tartisma,,Kocasi,,Vurucu Alet,,,,2014
952,,, 23/03/2014 ,   Yok ,Ayrilik,,Dini Nikahli Esi,,Atesli Silah,,,,2014
953,,, 23/03/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2014
954,,, 23/04/2014 ,   Yok ,Akrabasini Korurken,,Enistesi,,Atesli Silah,,,,2014
955,,, 23/04/2014 ,   Tespit Edilemeyen ,Kriz ve Issizlik,,Damadi,,Atesli Silah,,,,2014
956,,, 23/06/2014 ,   Yok ,Reddedilme,Kiskanclik,Eski Nisanlisi,,Atesli Silah,,,,2014
957,,, 23/07/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2014
958,,, 23/07/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2014
959,,, 23/09/2014 ,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Sevgilisi ve Arkadaslari,,Iskence,,,,2014
960,,, 23/12/2014 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Kesici Alet,,,,2014
961,,, 23/12/2014 ,   Tespit Edilemeyen ,Tecavuz,,Komsusu,,Kesici Alet,,,,2014
962,,, 24/02/2014 ,   Yok ,Tartisma,,Babasi,,Kesici Alet,,,,2014
963,,, 24/05/2014 ,   Yok ,Bebek Agladigi Icin,,Babasi,,Darp,,,,2014
964,,, 24/06/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2014
965,,, 24/07/2014 ,   Yok ,Tespit Edilemeyen,,Dini Nikahli Esi,,Atesli Silah,,,,2014
966,,, 24/08/2014 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,,,2014
967,,, 24/08/2014 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2014
968,,, 24/09/2014 ,   Yok ,Tartisma,,Oglu,,Bogulma,,,,2014
969,,, 24/10/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2014
970,,, 24/12/2014 ,   Yok ,Tecavuzce Direnme,,Tanimadigi Birisi,,Atesli Silah,,,,2014
971,,, 24/12/2014 ,   Yok ,Bosanma,,Erkek Kardesi,,Atesli Silah,,,,2014
972,,, 24/12/2014 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2014
973,,, 25/01/2014 ,   Yok ,Bosanma Talebi,,Kocasi,,Bogulma,,,,2014
974,,, 25/03/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2014
975,,, 25/03/2014 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2014
976,,, 25/06/2014 ,   Yok ,Tartisma,,Babasi,,Atesli Silah,,,,2014
977,,, 25/07/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2014
978,,, 25/08/2014 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2014
979,,, 25/08/2014 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2014
980,,, 25/08/2014 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,,,2014
981,,, 25/10/2014 ,   Yok ,Tecavuz,,Tanidigi Birisi,,Kesici Alet,,,,2014
